Country Name,Year,GDP,Population,GHG,GDP_per_capita,GHG_per_capita
Belarus,2010,57231904542.8755,9483836,91884.27,6034.678851772163,0.009688513171252645
Belgium,2010,481556503720.001,10895586,133644.3,44197.39367116197,0.012265912085866698
Bulgaria,2010,50689051382.4361,7395599,59383.17,6853.9480551117085,0.008029528101780531
Canada,2010,1617343367486.26,34005902,701867.55,47560.666600940625,0.020639580446947123
Croatia,2010,58975205417.3439,4295427,28171.06,13729.765496502188,0.006558384067521111
Cyprus,2010,25799940077.6075,1127816,9455.87,22876.01885201797,0.008384231115713911
Czechia,2010,211168667286.27,10474410,140167.57,20160.435507705923,0.013381905997569315
Denmark,2010,322345594075.47,5547683,65857.45,58104.54455949808,0.011871163150453981
Finland,2010,249429613683.334,5363352,75555.95,46506.29190165665,0.014087449415962256
France,2010,2646230027988.34,65026211,511152.92,40694.821169702474,0.007860721271303966
Germany,2010,3467093769666.67,81776930,932379.13,42396.9665976293,0.011401493428525625
Greece,2010,296417644404.034,11121341,119159.95,26653.048800862594,0.01071453073869419
Hungary,2010,131898737241.166,10000023,66533.79,13189.843387476809,0.006653363697263496
Iceland,2010,13922711576.5124,318041,4906.35,43776.46774004735,0.015426784596954481
Ireland,2010,221732824603.484,4560155,63032.16,48623.966642248786,0.013822372265854999
Italy,2010,2144936254535.0,59819407,523465.7,35856.86254855385,0.008750767121446056
Japan,2010,5759071769013.11,128070000,1300046.75,44968.156234973925,0.010151063871320372
Kazakhstan,2010,148047348240.643,16836810,315855.51,8793.075899807802,0.01875981911062725
Liechtenstein,2010,5082337238.44718,36022,228.83,141089.81284901392,0.006352506801399145
Luxembourg,2010,56213985987.4168,506953,12159.05,110885.99137872111,0.023984570561768052
Malta,2010,9097044159.26912,414508,2962.33,21946.60696360292,0.007146617194360543
Monaco,2010,5367561569.59548,33163,87.76,161853.92062224407,0.002646322709043211
Netherlands,2010,852464982433.335,16615394,214236.64,51305.73385339734,0.012893864569206125
New Zealand,2010,146887902524.052,4350700,77328.02,33761.90096399476,0.017773696186820512
Norway,2010,431052143940.438,4889252,54925.06,88163.20859314226,0.011233836995924939
Poland,2010,478111630683.514,38042794,407236.96,12567.73176763815,0.01070470691505992
Portugal,2010,238443864993.217,10573100,69529.86,22551.93509880896,0.006576109182737324
Romania,2010,170064350671.827,20246871,126669.91,8399.53742342839,0.006256270907242902
Russian Federation,2010,1524916715223.95,142849468,2019393.43,10674.990509757796,0.014136513480050203
Slovak Republic,2010,91112160800.7668,5391428,45766.63,16899.44868052894,0.008488776999340433
Slovenia,2010,47793117240.9001,2048583,19797.93,23329.84176911558,0.00966420691765967
Spain,2010,1427989078916.67,46576897,354652.28,30658.742228291205,0.007614338928589426
Sweden,2010,492750897239.447,9378126,64375.65,52542.57590902991,0.006864447118752723
Switzerland,2010,598851028906.58,7824909,55306.85,76531.37294076901,0.007068050248252088
Ukraine,2010,141209170427.233,46456003,407345.75,3039.632368441878,0.008768420089864382
United Kingdom,2010,2496740681057.14,62766365,615724.59,39778.3220528565,0.009809785702899953
United States,2010,15048964444000.0,309378227,7058197.91,48642.61001793122,0.022814139115226104
Australia,2015,1356805839935.9,23815995,534936.02,56970.3613028093,0.02246120810824826
Austria,2015,379546097300.633,8642699,78884.46,43915.22802085702,0.009127294610167496
Belarus,2015,56454769844.7632,9461076,88307.46,5967.055950587776,0.00933376499670862
Belgium,2015,461044767544.531,11274196,118990.38,40893.804537772005,0.010554223112672513
Bulgaria,2015,50765918159.1476,6984225,60421.4,7268.654454738728,0.008651124498423233
Canada,2015,1556508816217.14,35704498,722918.27,43594.194104539434,0.020247260443208025
Croatia,2015,50998893384.8289,4151725,24611.05,12283.784062005288,0.005927909483407499
Cyprus,2015,19909278416.8575,1219502,8343.27,16325.744785049552,0.006841538595262657
Czechia,2015,189107698561.919,10546059,128506.45,17931.598767076783,0.012185258019133024
Denmark,2015,301758922337.637,5683483,50834.62,53094.01336075731,0.008944272376639466
Finland,2015,233210733506.25,5479531,55009.24,42560.34567671029,0.010039041662507247
France,2015,2442483452642.5,66548272,460283.69,36702.43237333796,0.006916538569175771
Germany,2015,3425099578746.09,81686611,896657.87,41929.754911072145,0.010976803407843667
Greece,2015,194567373678.099,10820883,95965.29,17980.72982381373,0.008868526718198506
Hungary,2015,125244126623.289,9797755,62201.09,12782.94125779722,0.006348504325735844
Iceland,2015,17700486957.1907,330815,4772.71,53505.69640793405,0.014427126944062391
Ireland,2015,302101388556.271,4701957,61724.03,64250.13851812575,0.013127306353503445
Italy,2015,1845428048839.1,60229605,445735.65,30639.882975143206,0.0074006072262967695
Japan,2015,4444930651964.18,127141000,1317836.2,34960.63938433849,0.010365155221368402
Kazakhstan,2015,184388404706.042,18084169,346827.11,10196.122625598224,0.01917849307867008
Liechtenstein,2015,6268515276.17441,37494,198.64,167187.1573098205,0.00529791433295994
Luxembourg,2015,60071584216.1375,569604,10313.87,105462.01258442269,0.018107088433367745
Malta,2015,11340795042.0881,444220,2129.16,25529.68133377178,0.004793030480392598
Monaco,2015,6264756528.37691,36757,88.21,170437.101188261,0.0023998150012242564
Netherlands,2015,775743675302.734,16939923,194015.91,45793.81354346971,0.011453175436511724
New Zealand,2015,178224167087.99,4609400,79036.99,38665.37230181585,0.017146914999783054
Norway,2015,388159512245.53,5188607,54362.82,74809.96580498967,0.010477343919090422
Poland,2015,480054118583.367,37986412,383395.33,12637.522032440627,0.010092959819421746
Portugal,2015,199038523119.639,10358076,68178.64,19215.78130143465,0.006582172210360303
Romania,2015,177885131240.315,19815616,117099.81,8977.01748158195,0.005909471095927575
Russian Federation,2015,1363482182197.71,144640716,2033334.96,9426.683024700389,0.014057832512388835
Slovak Republic,2015,89178548717.3324,5423801,40869.58,16442.076086001754,0.007535228523317873
Slovenia,2015,42709468274.8137,2063531,16912.47,20697.27485306191,0.008195888503734618
Spain,2015,1206164777553.12,46422303,333623.41,25982.441619777463,0.007186705278279709
Sweden,2015,501602351911.6,9799186,53557.22,51188.16521204924,0.005465476418143303
Switzerland,2015,694118186379.628,8282396,48903.48,83806.44760038376,0.0059045087919003154
Ukraine,2015,91030967789.0717,45784896,319166.58,1988.2313981683326,0.006971001528539019
United Kingdom,2015,2945579890258.46,65088000,513880.19,45255.34492162088,0.007895160244591937
United States,2015,18206020741000.0,321815121,6737358.64,56572.91889960634,0.020935494326880928
Australia,2020,1333336461648.09,25649248,528149.46,51983.4523666382,0.020591225910404857
Austria,2020,434397601557.696,8916864,73910.84,48716.40989003488,0.008288882728277564
